Chaton Curieux
Renard Rusé
Ours Jovial
Loup Agile
Chien Fidèle
Panda Paisible
Cerf Vaillant
Dauphin Joyeux
Écureuil Enjoué
Tigre Courageux
Hérisson Tranquille
Furet Malin
Zèbre Rayé
Singe Habile
Tortue Géniale
Hibou Serein
Chouette Vigilante
Lynx Discret
Lion Puissant
Lapin Vif
Castor Dévoué
Koala Doux
Marmotte Douce
Corbeau Observateur
Chameau Endurant
Pingouin Glacial
Gecko Gracieux
Otarie Joueuse
Flamant Chic
Puma Mystérieux
Loutre Aventurière
Gorille Fort
Hamster Diligent
Perroquet Coloré
Bison Solide
Guépard Rapide
Phoque Amical
Mouette Légère
Léopard Intrépide
Chevreuil Svelte
Héron Élégant
Crocodile Calme
Lièvre Alerte
Bélier Brave
Jaguar Sombre
Pélican Patient
Antilope Gracieuse
Oie Noble
Grizzly Rugissant
Dragon Majestueux
Licorne Enchantée
Phénix Radieux
Mésange Vive
Chacal Astucieux
T-Rex Féroce
